segment_type,segment_value,segment_order
Geographic Region,117,117
Geographic Region,132,132
Geographic Region,143,143
Geographic Region,218,218
Geographic Region,230,230
Geographic Region,260,260
Geographic Region,281,281
Geographic Region,323,323
Geographic Region,362,362
Geographic Region,405,405
Geographic Region,421,421
Geographic Region,471,471
Geographic Region,481,481
Geographic Region,551,551
